0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0
2,1,0,0,0,0,2,0,0,2,0
3,0,2,0,0,0,0,3,0,0,3
4,0,0,3,0,0,0,0,4,0,0
5,4,0,0,4,0,0,0,0,5,0
6,0,5,0,0,5,0,0,0,0,6
7,0,0,6,0,0,6,0,0,0,0
8,7,0,0,7,0,0,7,0,0,0
9,0,8,0,0,8,0,0,8,0,0
10,0,0,9,0,0,9,0,0,9,0
11,0,0,0,0,1,0,0,1,0,10
12,0,0,0,0,1,1,0,1,1,0
13,11,0,0,0,0,2,1,0,2,1
14,0,12,0,0,0,0,3,1,0,3
15,1,0,13,0,0,0,0,4,1,0
16,4,1,0,14,0,0,0,0,5,1
17,0,5,1,0,15,0,0,0,0,6
18,1,0,6,1,0,16,0,0,0,0
19,7,1,0,7,1,0,17,0,0,0
20,0,8,1,0,8,1,0,18,0,0
21,0,0,9,1,0,9,1,0,19,0
22,0,0,0,0,2,0,0,2,0,20
23,0,0,0,0,1,2,0,1,2,0
24,21,0,0,0,0,2,2,0,2,2
25,0,22,0,0,0,0,3,2,0,3
26,2,0,23,0,0,0,0,4,2,0
27,4,2,0,24,0,0,0,0,5,2
28,0,5,2,0,25,0,0,0,0,6
29,2,0,6,2,0,26,0,0,0,0
30,7,2,0,7,2,0,27,0,0,0
31,0,8,2,0,8,2,0,28,0,0
32,0,0,9,2,0,9,2,0,29,0
33,0,0,0,0,3,0,0,3,0,30
34,0,0,0,0,1,3,0,1,3,0
35,31,0,0,0,0,2,3,0,2,3
36,0,32,0,0,0,0,3,3,0,3
37,3,0,33,0,0,0,0,4,3,0
38,4,3,0,34,0,0,0,0,5,3
39,0,5,3,0,35,0,0,0,0,6
40,3,0,6,3,0,36,0,0,0,0
41,7,3,0,7,3,0,37,0,0,0
42,0,8,3,0,8,3,0,38,0,0
43,0,0,9,3,0,9,3,0,39,0
44,0,0,0,0,4,0,0,4,0,40
45,0,0,0,0,1,4,0,1,4,0
46,41,0,0,0,0,2,4,0,2,4
47,0,42,0,0,0,0,3,4,0,3
48,4,0,43,0,0,0,0,4,4,0
49,4,4,0,44,0,0,0,0,5,4
50,0,5,4,0,45,0,0,0,0,6
51,4,0,6,4,0,46,0,0,0,0
52,7,4,0,7,4,0,47,0,0,0
53,0,8,4,0,8,4,0,48,0,0
54,0,0,9,4,0,9,4,0,49,0
55,0,0,0,0,5,0,0,5,0,50
56,0,0,0,0,1,5,0,1,5,0
57,51,0,0,0,0,2,5,0,2,5
58,0,52,0,0,0,0,3,5,0,3
59,5,0,53,0,0,0,0,4,5,0
60,4,5,0,54,0,0,0,0,5,5
61,0,5,5,0,55,0,0,0,0,6
62,5,0,6,5,0,56,0,0,0,0
63,7,5,0,7,5,0,57,0,0,0
